24.22,22.296272039413452,0.2685671417854464,0.30952380952380953,0.1702127659574468,0.2163265306122449,0.2,0.22093023255813954,0.20376974019358127,0.5,0.24921135646687698,0.325515947467167,0.358,0.026,0.008,0.106,0.007,0.019,0.8,0.04,0.711,0.347
31.05,21.659391403198242,0.32397572078907433,0.48148148148148145,0.29213483146067415,0.2509090909090909,0.3076923076923077,0.34285714285714286,0.25413826679649465,0.43050847457627117,0.3028826634185952,0.39084219133278825,0.427,0.065,0.026,0.138,0.008,0.18,0.783,0.254,0.746,0.478
36.89,21.17374277114868,0.36200448765893795,0.5032258064516129,0.3195121951219512,0.3187919463087248,0.26666666666666666,0.31938325991189426,0.3361782835467046,0.40535372848948376,0.3515,0.4941675503711559,0.484,0.234,0.131,0.095,0.008,0.435,0.709,0.424,0.703,0.466
40.34,20.811195135116577,0.40476190476190477,0.5365853658536586,0.2837696335078534,0.3592814371257485,0.27225130890052357,0.32038834951456313,0.42525125628140703,0.4505928853754941,0.3952195664257921,0.5714285714285714,0.493,0.374,0.271,0.06,0.052,0.528,0.677,0.456,0.711,0.412
42.14,20.595171213150024,0.4047808764940239,0.5384615384615384,0.3163972286374134,0.36423841059602646,0.3470483005366726,0.33842070338420704,0.4708002883922134,0.46511627906976744,0.40644789867587794,0.5686274509803921,0.508,0.399,0.274,0.055,0.194,0.51,0.653,0.48,0.706,0.435
43.7,20.429060220718384,0.427986906710311,0.5838150289017341,0.32169117647058826,0.3593073593073593,0.32228915662650603,0.3617021276595745,0.5196779964221825,0.4715127701375246,0.44423199490121096,0.5633640552995391,0.523,0.404,0.175,0.083,0.428,0.51,0.581,0.48,0.697,0.489
44.41,20.303800582885742,0.4201930215293244,0.595945945945946,0.31671554252199413,0.3394495412844037,0.3302358827734096,0.35746316463805256,0.5339285714285714,0.5138734739178691,0.4564625850340136,0.5831234256926953,0.566,0.441,0.108,0.111,0.462,0.558,0.598,0.463,0.671,0.463
45.27,20.19179880619049,0.4377022653721683,0.5938697318007663,0.32592592592592595,0.3388773388773389,0.33579583613163194,0.38169642857142855,0.5285467128027682,0.5365579302587177,0.4497816593886463,0.5981308411214953,0.541,0.465,0.088,0.163,0.5,0.513,0.611,0.477,0.721,0.448
46.22,20.074727654457092,0.4639358860195904,0.5945945945945946,0.32247557003257327,0.3407707910750507,0.34095238095238095,0.3851203501094092,0.5728155339805825,0.5386289445048966,0.45747982619491,0.6116248348745046,0.521,0.484,0.099,0.168,0.537,0.528,0.59,0.495,0.737,0.463
47.86,19.934671640396118,0.48218940052128584,0.6120283018867925,0.362962962962963,0.34520123839009287,0.366306027820711,0.3879184861717613,0.5549597855227882,0.5655644241733181,0.4908722109533469,0.6096654275092936,0.555,0.519,0.147,0.223,0.474,0.533,0.621,0.496,0.726,0.492
